Grapheme	FREQUENCY	SCA	CODEPOINTS	EXAMPLES	IPA
rj~	3	R	U+0072 U+006A U+007E	a*rj~ya;ewarj~i;wirj~ya7i	rʲ
rr~	3	R	U+0072 U+0072 U+007E	dEgrr~;parr~ga;Namarr~i	rː
rw~	40	R	U+0072 U+0077 U+007E	rw~e;rw~a;rw~aS;g3rw~a;kirw~o	rʷ
rx~	32	R	U+0072 U+0078 U+007E	werx~;kh~rx~uv;murx~;marx~3l;moiorx~	rˠ
ry~	98	R	U+0072 U+0079 U+007E	matery~a;iy3 d3ry~o;by~iry~;d3ry~o;d3ry~o	rʲ
S	8666	S	U+0053	naS;neS;n3SS;n3SS;niS	ʃ
Z	1348	S	U+005A	Zi;EZ;Z3;Zo;Zo	ʒ
s	32270	S	U+0073	ise;ese;ese;esie;esie	s
z	4949	S	U+007A	ze;az3m;z3;z3;z3	z
"S"""	14	S	U+0053 U+0022	"yaS""a;weS""e;a7aS""oL;iS""eq;S""ix"	ʃʼ
"Z"""	0	S	U+005A U+0022		ʒ’
"s"""	84	S	U+0073 U+0022	"s""Caummo;pakas"";s""awo;s""ayi;was""s"""	sʼ
"z"""	4	S	U+007A U+0022	"sc""uqw~az"";sip""az"";tz""umalx;nxc""az""m3n"	z’
5Z~	1	S	U+0035 U+005A U+007E	ma5Z~e	ⁿʒ
7S~	1	S	U+0037 U+0053 U+007E	7S~i	ˀʃ
7s~	1	S	U+0037 U+0073 U+007E	di7s~ne	ˀs
Ns~	1	S	U+004E U+0073 U+007E	Ns~o7	ⁿs
S7~	8	S	U+0053 U+0037 U+007E	S7~oy;S7~oy;S7~oy;a7aS7~oL;th~3nS7~3w	ʃˀ
SX~	1	S	U+0053 U+0058 U+007E	SESX~	ʃˠ
Sh~	29	S	U+0053 U+0068 U+007E	maSh~o;maSh~o;juSh~el;juSh~el;Sh~a	ʃʰ
Sw~	41	S	U+0053 U+0077 U+007E	Sw~ara;Sw~ara;Sw~3;uSw~a;niSw~i	ʃʷ
Sx~	8	S	U+0053 U+0078 U+007E	Sx~olmisal ce7;Sx~in;iSx~ua;aSx~;Sx~aw	ʃˠ
Sy~	50	S	U+0053 U+0079 U+007E	mb~a7e poSy~;Sy~it3;Sy~ukbi;ZEny~Sy~in3;tiSy~t3k	ʃʲ
Z7~	2	S	U+005A U+0037 U+007E	Z7~oy;Z7~akN~	ʒˀ
ZX~	3	S	U+005A U+0058 U+007E	ZX~ali;ZX~Ela;ZX~ali	ʒˠ
ZZ~	3	S	U+005A U+005A U+007E	ZZ~;ZZ~;ZZ~	ʒː
Zh~	9	S	U+005A U+0068 U+007E	Zh~u7;ta3m Zh~a3;Zh~am;nam Zh~ow;ZuZh~auk	ʒʰ
Zj~	0	S	U+005A U+006A U+007E		ʒʲ
Zw~	10	S	U+005A U+0077 U+007E	Zw~En;Zw~a ziN;Zw~3d;Zw~ug;Zw~in	ʒʷ
Zy~	8	S	U+005A U+0079 U+007E	Zy~u;Zy~uv;Zy~edi;Zy~edi;SiZy~a	ʒʲ
hS~	1	S	U+0068 U+0053 U+007E	ehS~i	ʰʃ
hs~	3	S	U+0068 U+0073 U+007E	ahs~ay;kilhs~wa;ahs~en	ʰs
nS~	20	S	U+006E U+0053 U+007E	nS~37;menS~;menS~;nS~3m;nS~3m	ⁿʃ
nZ~	18	S	U+006E U+005A U+007E	nZ~i;a5onZ~o;nZ~Ene;anZ~oma;3nZ~i	ⁿʒ
ns~	56	S	U+006E U+0073 U+007E	ns~iN;ins~aidi;ns~a;ins~a;uns~it	ⁿs
nz~	154	S	U+006E U+007A U+007E	nz~e;nz~e;basaninz~u;waninz~a;anz~e	ⁿz
s7~	14	S	U+0073 U+0037 U+007E	omas7~;weis7~;as7~u;s7~agi;mus7~i	sˀ
sX~	29	S	U+0073 U+0058 U+007E	SaxsX~;SaxisX~;sX~notX~a;isX~u;isX~u	sˠ
sh~	101	S	U+0073 U+0068 U+007E	sh~oN;sh~oN;sh~oN;sh~yu;sh~a*	sʰ
ss~	1	S	U+0073 U+0073 U+007E	ss~37	sː
sw~	120	S	U+0073 U+0077 U+007E	sw~e;isw~e;usw~e;esw~e;isw~i	sʷ
sx~	19	S	U+0073 U+0078 U+007E	wisx~3n;osx~on;sx~ep;sisx~li;sx~o	sˠ
sy~	231	S	U+0073 U+0079 U+007E	sy~a5;asy~meos;sy~iui;sy~i;sy~i	sʲ
zX~	8	S	U+007A U+0058 U+007E	XazX~am;azX~m;XEzX~m;amzX~uX;zX~rX~	zˠ
zh~	13	S	U+007A U+0068 U+007E	zh~ini;zh~3n;zh~a7;zh~i;zh~izh~i	zʰ
zw~	17	S	U+007A U+0077 U+007E	zw~i;zw~i;zw~i7;zw~i;zw~i	zʷ
zy~	32	S	U+007A U+0079 U+007E	by~izy~;zy~ada;zy~un;zy~i;zy~a7	zʲ
zz~	1	S	U+007A U+007A U+007E	zz~7uN	zː
"S""h~"	1	S	U+0053 U+0022 U+0068 U+007E	"q""w~3pS""h~3"	ʃ’ʰ
"S""w~"	1	S	U+0053 U+0022 U+0077 U+007E	"maS""w~3"	ʃ’ʷ
C	8203	T	U+0043	Ca;Ci;Cira;Ca;nCi	tʃ
d	23829	T	U+0064	kyedi;ndi;nda;da;nda	d
j	4637	T	U+006A	uneji;inje;inje;i5je;i*ji	dʒ
t	53056	T	U+0074	ta;tita;tita;tir;ti	t
"C"""	795	T	U+0043 U+0022	"nEC""o;maC""a;buC""u;d3C""u7;n3C""u7"	tʃʼ
"c"""	1050	T	U+0063 U+0022	"nuc""koji;c""EX;c""iL;c""eLeg;wisc""i7"	tsʼ
"d"""	236	T	U+0064 U+0022	"id""e;le7ek ad""a7a;le7ek ad""a7a;le7ek ad""o7o;lee7ek ad""o7o"	d’
"j"""	7	T	U+006A U+0022	"jaj""a;j""ayabe;Siya*j""e;xaj""ays;ph~ej""e"	dʒ’
"t"""	764	T	U+0074 U+0022	"kit""in;kit""in;t""aili;uSint""i;iSint""i"	tʼ
5C~	3	T	U+0035 U+0043 U+007E	i5C~e;5C~e;5C~u	ⁿtʃ
5d~	1	T	U+0035 U+0064 U+007E	kutu5d~a	ⁿd
7C~	1	T	U+0037 U+0043 U+007E	7C~u	ˀtʃ
7d~	24	T	U+0037 U+0064 U+007E	ka7d~i;7d~eu;7d~eu;7d~au;7d~ok	ˀd
7j~	1	T	U+0037 U+006A U+007E	a7j~i7	ˀdʒ
C7~	6	T	U+0043 U+0037 U+007E	kaC7~i;C7~amo;C7~o;tuC7~i*;toC7~i*	tʃˀ
CS~	2	T	U+0043 U+0053 U+007E	muCS~;CS~	tʃ
CX~	1	T	U+0043 U+0058 U+007E	xemely~3CX~elin	tʃˠ
Ch~	469	T	U+0043 U+0068 U+007E	aCh~on;aCh~en;Ch~an;Ch~i;Ch~i	tʃʰ
Cw~	60	T	U+0043 U+0077 U+007E	iCw~u;Cw~i;Cw~i;Cw~i;Cw~i	tʃʷ
Cx~	8	T	U+0043 U+0078 U+007E	Cx~omi;Cx~vindi;Cx~indi;Cx~3;Cx~a7	tʃˠ
Cy~	62	T	U+0043 U+0079 U+007E	Cy~idy~i;Cy~uan buh;aCy~el;Cy~i;gCy~ig	tʃʲ
NC~	1	T	U+004E U+0043 U+007E	CaNC~anahai	ⁿtʃ
Nd~	3	T	U+004E U+0064 U+007E	koNd~a;SiNd~e;soNd~	ⁿd
Nt~	1	T	U+004E U+0074 U+007E	aNt~a	ⁿt
cy~	48	T	U+0063 U+0079 U+007E	cy~E;mmocy~;cy~iu;cy~eri;cy~orig	tsʲ
d7~	6	T	U+0064 U+0037 U+007E	"d7~axa;ikid7~;Sipx~ad7~u;wad7~duwi;sid7~jurk""ai"	dˀ
dX~	18	T	U+0064 U+0058 U+007E	aXidX~urX~;XadX~um;XadX~me;X3dX~3m;XdX~em	dˠ
dZ~	8	T	U+0064 U+005A U+007E	idZ~o;iganidZ~e;nexodZ~edi;nadZ~idi;adZ~ipa	dʒ
dh~	215	T	U+0064 U+0068 U+007E	Nadh~a;Nadh~u;Nadh~a;Nadh~uwa;dh~ew	dʰ
dj~	5	T	U+0064 U+006A U+007E	widj~diZi;dj~3N;dj~iti;dj~ira;kidj~a	dʒ
dn~	15	T	U+0064 U+006E U+007E	mEdn~iSa;paSdn~a;rudn~3*;doudn~;Sidn~	dⁿ
dw~	86	T	U+0064 U+0077 U+007E	dw~a;dw~a;dw~a;dw~a;dw~a	dʷ
dx~	5	T	U+0064 U+0078 U+007E	Xodx~me;Xdx~o*mx~;XEdx~mx~o;sx~3dx~3r;sx~dx~or	dˠ
dy~	514	T	U+0064 U+0079 U+007E	dy~ew;dy~au;Na5dy~i;Nady~u;andy~	dʲ
hC~	1	T	U+0068 U+0043 U+007E	hC~3k	ʰtʃ
hc~	2	T	U+0068 U+0063 U+007E	hc~ehp~e;hc~eka	ʰts
ht~	14	T	U+0068 U+0074 U+007E	ht~iteky~a;bo*ht~o*;ht~aw3;ht~u ih~ti;ht~akay	ʰt
j7~	1	T	U+006A U+0037 U+007E	j7~ul	dʒˀ
jX~	1	T	U+006A U+0058 U+007E	najX~e	dʒˠ
jZ~	2	T	U+006A U+005A U+007E	jZ~ma;jZ~7	dʒ
jh~	9	T	U+006A U+0068 U+007E	jh~ad;jh~ad;jh~ada;jh~adu;jh~ar	dʒʰ
jw~	27	T	U+006A U+0077 U+007E	jw~3r;jw~ab;jw~i;ajw~i;ajw~lim	dʒʷ
jy~	10	T	U+006A U+0079 U+007E	jy~i;jy~a;jy~i;yejy~ur;ejy~e	dʒʲ
md~	3	T	U+006D U+0064 U+007E	bomd~o;md~u;md~er	ⁿd
nC~	85	T	U+006E U+0043 U+007E	nC~E;nC~i;nC~ini;anC~i;nC~e b3Ci	ⁿtʃ
nc~	151	T	U+006E U+0063 U+007E	anc~ika;nc~3 b3Ci;ainc~;aenc~;sonc~i	ⁿts
nd~	2018	T	U+006E U+0064 U+007E	nd~i;nd~a;nd~i;nd~e;ind~i	ⁿd
nj~	223	T	U+006E U+006A U+007E	nj~uk;inj~im;inj~uCu;nj~a;nj~o	ⁿdʒ
nt~	599	T	U+006E U+0074 U+007E	int~a;yant~;nt~i;3nt~a;jant~a	ⁿt
t7~	23	T	U+0074 U+0037 U+007E	t7~oL;t7~oixy~u;t7~ac3;ot7~;t7~o	tˀ
tS~	1	T	U+0074 U+0053 U+007E	tS~amra	tʃ
th~	1922	T	U+0074 U+0068 U+007E	th~i;th~a;th~u;th~io;k3th~3	tʰ
tj~	4	T	U+0074 U+006A U+007E	kutj~a;tj~ab3j;detj~a;tj~uwala	tʲ
tt~	1	T	U+0074 U+0074 U+007E	tyatt~	tː
tw~	190	T	U+0074 U+0077 U+007E	tw~i;yEtw~E;atw~E;tw~ebw~e;tw~e	tʷ
tx~	21	T	U+0074 U+0078 U+007E	tx~u;utx~in;ustx~in;tx~3;tx~i3	tˠ
ty~	671	T	U+0074 U+0079 U+007E	Ety~E;Nety~e;Naty~a;Nety~e;aty~e	tʲ
"C""w~"	3	T	U+0043 U+0022 U+0077 U+007E	"C""w~el;C""w~el;C""w~at"""	tʃ’ʷ
"C""y~"	8	T	U+0043 U+0022 U+0079 U+007E	"C""y~an;C""y~an;C""y~an;C""y~an;C""y~an"	tʃ’ʲ
"c""X~"	1	T	U+0063 U+0022 U+0058 U+007E	"c""X~em3n"	tʃ’ˠ
"c""y~"	1	T	U+0063 U+0022 U+0079 U+007E	"c""y~ul"	ts’ʲ
"nc""~"	2	T	U+006E U+0063 U+0022 U+007E	"inc""~3rs;hinc""~o"	ⁿtsʼ
"nt""~"	3	T	U+006E U+0074 U+0022 U+007E	"nt""~u;hant""~ik""a;int""~aba"	ⁿt’
"t""8~"	24	T	U+0074 U+0022 U+0038 U+007E	"t""8~it""8~3t""8~3m;t""8~it""8~3t""8~3m;t""8~it""8~3t""8~3m;St""8~3m""ikw~3n;st""8~at""8~L37"	tθ’
"t""X~"	4	T	U+0074 U+0022 U+0058 U+007E	"int""X~ay;t""X~Eri;t""X~ir;t""X~ada"	t’ˠ
"t""h~"	1	T	U+0074 U+0022 U+0068 U+007E	"t""h~al"	t’ʰ
"t""w~"	4	T	U+0074 U+0022 U+0077 U+007E	"t""w~3;t""w~ar;t""w~ar;t""w~ar"	t’ʷ
"t""y~"	3	T	U+0074 U+0022 U+0079 U+007E	"cat""y~o;t""y~am;t""y~E"	t’ʲ
thw~	0	T	U+0074 U+0068 U+0077 U+007E		tʷʰ
o	77610	U	U+006F	ono;ono;one;mo;iyo	o
o*	1878	U	U+006F U+002A	5io*;mo*;mo*;mo*;mo*	õ
w	24016	W	U+0077	win;5owe;Tewe;owe;gy~ewe	w
"w"""	138	W	U+0077 U+0022	"suw""a;suw""a;suw""a;kw~uw""e;niw""a"	w’
w7~	11	W	U+0077 U+0037 U+007E	saw7~a;aw7~a;iw7~isi;hiaw7~;w7~i	wˀ
u	86839	Y	U+0075	une;une;uneji;mu;menu	u
u*	1581	Y	U+0075 U+002A	mu*;u*;hu*;hu*;hu*	ũ
u7~	1	Y	U+0075 U+0037 U+007E	7d~au7~d3i	uˀ
!X~	2	! G	U+0021 U+0058 U+007E	!X~o;!X~i	ǂ χ
!r~	2	! R	U+0021 U+0072 U+007E	Ehw~E!r~hE;uwo!r~o	ǃ r
!d~	1	! T	U+0021 U+0064 U+007E	odu!d~o	ǃ d
ah~	3	A H	U+0061 U+0068 U+007E	mah~ika;yah~kNum;tah~	a h
Ey~	1	A J	U+0045 U+0079 U+007E	nEy~s	a j
ay~	1	A J	U+0061 U+0079 U+007E	kay~	a j
a*y*	1	A J	U+0061 U+002A U+0079 U+002A	no*ka*y*	ã j
aw~	12	A W	U+0061 U+0077 U+007E	daw~m;saw~;taw~;ta7a aw~;zaw~now~	a w
fv~	6	B B	U+0066 U+0076 U+007E	SEfv~;SEfv~;ph~ifv~;fv~;fv~	f v
fk~	1	B K	U+0066 U+006B U+007E	fk~en	f k
fl~	2	B L	U+0066 U+006C U+007E	fl~i;fl~E	f l
vl~	1	B L	U+0076 U+006C U+007E	vl~E	v l
vn~	1	B N	U+0076 U+006E U+007E	navn~	v n
fr~	1	B R	U+0066 U+0072 U+007E	fr~wa	f r
vr~	1	B R	U+0076 U+0072 U+007E	vr~ikS3	v r
fs~	2	B S	U+0066 U+0073 U+007E	fs~ika;fs~a	f s
vw~	51	B W	U+0076 U+0077 U+007E	vw~ElE;vw~oro;vw~oro;vw~a;vw~a	v w
Tv~	2	C B	U+0054 U+0076 U+007E	Tv~u;Tv~u	c v
cv~	2	C B	U+0063 U+0076 U+007E	cv~ali;cv~a	ts v
TX~	1	C G	U+0054 U+0058 U+007E	XaTX~ed	c χ
cX~	1	C G	U+0063 U+0058 U+007E	cX~a7	ts χ
T5~	1	C N	U+0054 U+0035 U+007E	T5~edan	c ɲ
cb~	1	C P	U+0063 U+0062 U+007E	cb~on pe7	ts b
cz~	29	C S	U+0063 U+007A U+007E	sEp3cz~;ocz~;yEcz~;cz~;yopicz~	ts z
8w~	4	D W	U+0038 U+0077 U+007E	8w~i;8w~E;ne8w~a;kise8w~	θ w
ax~	2	E G	U+0061 U+0078 U+007E	ax~te;ax~na	ɐ x
e7~	1	E H	U+0065 U+0037 U+007E	wose7~ek	e ʔ
3y*	1	E J	U+0033 U+0079 U+002A	d3N3y*	ə̃ j
ay*	2	E J	U+0061 U+0079 U+002A	hay*Si;hay*E	ɐ̃ j
e*y*	1	E J	U+0065 U+002A U+0079 U+002A	e*y*	ẽ j
aq~	1	E K	U+0061 U+0071 U+007E	qw~aq~37	ɐ q
a*g~	1	E K	U+0061 U+002A U+0067 U+007E	na*g~ina	ɐ̃ g
a5~	1	E N	U+0061 U+0035 U+007E	a5~in	ɐ ɲ
aN~	2	E N	U+0061 U+004E U+007E	aN~gu;taraN~kambirei	ɐ ŋ
at~	1	E T	U+0061 U+0074 U+007E	that~a	ɐ t
a*d~	1	E T	U+0061 U+002A U+0064 U+007E	ka*d~i7iCi	ɐ̃ d
ew~	1	E W	U+0065 U+0077 U+007E	lew~a	e w
a*w*	2	E W	U+0061 U+002A U+0077 U+002A	sa*w*;StiNk~a*w*	ɐ̃ w
xv~	2	G B	U+0078 U+0076 U+007E	xv~icli;xv~araiti	x v
xc~	1	G C	U+0078 U+0063 U+007E	oxc~3	x ts
Xk~	1	G K	U+0058 U+006B U+007E	Xk~u	χ k
xk~	2	G K	U+0078 U+006B U+007E	axarx~xk~;xk~am3	x k
xq~	1	G K	U+0078 U+0071 U+007E	xq~ayus	x q
Xm~	1	G M	U+0058 U+006D U+007E	Xm~oh	χ m
Xs~	3	G S	U+0058 U+0073 U+007E	Xs~i;Xs~3ni;Xs~anten	χ s
xS~	1	G S	U+0078 U+0053 U+007E	xS~ap	x ʃ
Xt~	1	G T	U+0058 U+0074 U+007E	Xt~akien	χ t
xww~	1	G Y	U+0078 U+0077 U+0077 U+007E	"xww~ic"""	x u
h7~	4	H H	U+0068 U+0037 U+007E	sih7~kak;sih7~kam;sih7~katedy~o;h7~onu	h ʔ
7m~	2	H M	U+0037 U+006D U+007E	i7m~e;7m~3ksan	ʔ m
iv~	1	I B	U+0069 U+0076 U+007E	div~	i v
iX~	1	I G	U+0069 U+0058 U+007E	smiX~	i χ
ih~	6	I H	U+0069 U+0068 U+007E	ih~e tez3;ht~u ih~ti;ih~3ty~e;ih~t;ih~ekh~a	i h
yh~	13	I H	U+0079 U+0068 U+007E	yh~3;yh~an lebu;yh~ad;yh~ad;yh~auk	i h
i*7~	1	I H	U+0069 U+002A U+0037 U+007E	cei*7~o*	ĩ ʔ
ij*	0	I J	U+0069 U+006A U+002A		ĩ j
iy*	2	I J	U+0069 U+0079 U+002A	hiy*E;tasiy*	ĩ j
ik~	2	I K	U+0069 U+006B U+007E	nik~aSi*ga;pik~ao	i k
yk~	1	I K	U+0079 U+006B U+007E	yk~uxi	i k
yw~	29	I W	U+0079 U+0077 U+007E	yw~ole;yw~ole;yw~ak;yw~a;oyw~E7	i w
y*E	3	J A	U+0079 U+002A U+0045	y*E;y*En;y*EN	j ã
y*i	7	J I	U+0079 U+002A U+0069	y*i;y*in;y*ima;py*iq3;y*in	j ĩ
yt~	1	J T	U+0079 U+0074 U+007E	xeyt~eN	j t
y*o	2	J U	U+0079 U+002A U+006F	y*o;y*o	j õ
gv~	7	K B	U+0067 U+0076 U+007E	gv~u3;gv~u;gv~i;gv~ebga;tgv~	g v
kf~	5	K B	U+006B U+0066 U+007E	kf~a;kf~uSy~i;kf~umf~e;kf~u3;kf~a	k f
kv~	6	K B	U+006B U+0076 U+007E	kv~ow;kv~th~Eu;bEkv~tv~lv~;nv~mekv~;kv~Cv~	k v
"k""v~"	2	K B	U+006B U+0022 U+0076 U+007E	"k""v~doma;varsk""v~lavi"	kʼ v
GX~	1	K G	U+0047 U+0058 U+007E	oGX~	ɢ χ
qx~	1	K G	U+0071 U+0078 U+007E	qx~ara	q x
"qX""~"	1	K G	U+0071 U+0058 U+0022 U+007E	"qX""~ina"	q χʼ
"k""7~"	1	K H	U+006B U+0022 U+0037 U+007E	"k""7~aN"	kʼ ʔ
gk~	1	K K	U+0067 U+006B U+007E	egk~alamak	g k
gl~	5	K L	U+0067 U+006C U+007E	sigl~;gl~eyi;cegl~;ebasigl~a;gl~e	g l
kl~	19	K L	U+006B U+006C U+007E	kl~o;kl~e;kl~u;kl~o;kl~u	k l
gN~	2	K N	U+0067 U+004E U+007E	"t""agN~;tulagN~"	g ŋ
gn~	3	K N	U+0067 U+006E U+007E	ign~i;tulagn~;ign~u	g n
kn~	7	K N	U+006B U+006E U+007E	yikn~;likekn~;yokn~;ndy$eaikn~;wund~okn~	k n
gb~	318	K P	U+0067 U+0062 U+007E	ngb~o;nigb~e;ilogb~o;gb~Ennje;gb~oriye	g b
gr~	1	K R	U+0067 U+0072 U+007E	pegr~k	g r
kr~	1	K R	U+006B U+0072 U+007E	y3kr~it	k r
kS~	1	K S	U+006B U+0053 U+007E	dikS~i3	k ʃ
ks~	6	K S	U+006B U+0073 U+007E	ks~3mu;ks~3ks~3;ks~3ks~3;ks~3s3;ks~3s3	k s
kw*$	1	K Y	U+006B U+0077 U+002A U+0024	ewitikw*	k ũ
lv~	5	L B	U+006C U+0076 U+007E	lv~u;lv~u;bEkv~tv~lv~;lv~mo;lv~	l v
lm~	1	L M	U+006C U+006D U+007E	gelm~edi	l m
mf~	21	M B	U+006D U+0066 U+007E	dimf~run;mf~a;mf~ana;mf~E7;komf~E	m f
mv~	63	M B	U+006D U+0076 U+007E	mv~a;mv~and~e;pomv~3;mv~3;mv~a	m v
mk~	1	M K	U+006D U+006B U+007E	mk~3dukw~	m k
ml~	8	M L	U+006D U+006C U+007E	ml~ek;ml~E;ml~e;kokoml~u;ml~oN	m l
mN~	1	M N	U+006D U+004E U+007E	mN~e	m ŋ
mr~	2	M R	U+006D U+0072 U+007E	mr~7rh$;mr~i	m r
mZ~	3	M S	U+006D U+005A U+007E	mZ~u;mZ~u;mZ~3	m ʒ
ms~	3	M S	U+006D U+0073 U+007E	ms~izukw~;ms~alwa;ms~kw~3n	m s
mz~	3	M S	U+006D U+007A U+007E	mz~u;mz~u;mz~3	m z
mC~	1	M T	U+006D U+0043 U+007E	mC~a	m tʃ
mj~	1	M T	U+006D U+006A U+007E	mj~ili	m dʒ
mt~	6	M T	U+006D U+0074 U+007E	mt~as3;mt~u;mt~oN;mt~a;mt~i	m t
nf~	5	N B	U+006E U+0066 U+007E	kunf~o;nunf~a;tunf~3r3;nf~enf~e;nf~enf~e	n f
NX~	1	N G	U+004E U+0058 U+007E	oNX~	ŋ χ
nX~	8	N G	U+006E U+0058 U+007E	"nX~ah;rnX~e;nX~aq;nX~c""ec""mn;snX~"	n χ
57~	4	N H	U+0035 U+0037 U+007E	ple57~;ko57~5o;57~ixi;dabu57~	ɲ ʔ
4y~	1	N J	U+0034 U+0079 U+007E	mu4y~u	n̪ j
nq~	7	N K	U+006E U+0071 U+007E	enq~a;nq~ai;pind~inq~;ent~opanq~un;enq~i	n q
nL~	1	N L	U+006E U+004C U+007E	nL~i	n ʎ
nl~	3	N L	U+006E U+006C U+007E	wj~onl~;nl~iya;nl~ocop	n l
Nm~	13	N M	U+004E U+006D U+007E	zuNm~u;eNm~i;niNm~gb~iNNu;Nm~aNm~a;Nm~aNm~a	ŋ m
nm~	1	N M	U+006E U+006D U+007E	nm~o	n m
5n~	3	N N	U+0035 U+006E U+007E	o5n~agi;5n~ea;5n~e	ŋ n
n5~	11	N N	U+006E U+0035 U+007E	n5~in;n5~in;n5~in;n5~En;n5~in	n ɲ
nN~	3	N N	U+006E U+004E U+007E	nN~agy~u;nunN~ura;garinN~a	n ŋ
nb~	19	N P	U+006E U+0062 U+007E	nb~ompa;yanb~a;yanb~a;yanb~a;janb~a	n b
nr~	4	N R	U+006E U+0072 U+007E	Tu*nr~;nnr~al3Nok;canr~uci;nEnEnr~E	n r
4d~	17	N T	U+0034 U+0064 U+007E	pa4d~3d3;mana4d~a;bi4d~u;4d~EbE;Na4d~al	n d
4j~	1	N T	U+0034 U+006A U+007E	ki4j~a	n̪ dʒ
4t~	1	N T	U+0034 U+0074 U+007E	i4t~e	n̪ t
5j~	10	N T	U+0035 U+006A U+007E	ka5j~a;5j~ia;ve5j~er;ga5j~a;ke5j~	ɲ dʒ
"nC""~"	1	N T	U+006E U+0043 U+0022 U+007E	"bonC""~o"	n tʃʼ
bv~	34	P B	U+0062 U+0076 U+007E	bv~a;bv~o;bv~3;bv~3;bv~3	b v
pv~	9	P B	U+0070 U+0076 U+007E	pv~uo;pv~ey;pv~ey;pv~e;pv~ey	p v
bq~	1	P K	U+0062 U+0071 U+007E	bq~ni7	b q
pk~	1	P K	U+0070 U+006B U+007E	lipk~abl	p k
bl~	8	P L	U+0062 U+006C U+007E	bl~ud;bl~ui;bl~ui;bl~ui;bl~ai	b l
pl~	9	P L	U+0070 U+006C U+007E	pl~E;pl~E;pl~ou hou;mapl~a;pl~an	p l
bm~	4	P M	U+0062 U+006D U+007E	yErbm~;galbm~a;tubm~;dutubm~	b m
pm~	23	P M	U+0070 U+006D U+007E	apm~;kupm~;pm~owsowinno;CEpm~;wupm~	p m
pn~	1	P N	U+0070 U+006E U+007E	mapn~E	p n
pr~	1	P R	U+0070 U+0072 U+007E	kapr~en	p r
"p""r~"	1	P R	U+0070 U+0022 U+0072 U+007E	"p""r~n"	pʼ r
ps~	6	P S	U+0070 U+0073 U+007E	ps~3tic3;ps~3ti;ps~3tu;ps~3tu;ps~3c3	p s
pd~	1	P T	U+0070 U+0064 U+007E	pd~oro	p d
rg~	1	R K	U+0072 U+0067 U+007E	Zabarg~a	r g
rl~	4	R L	U+0072 U+006C U+007E	warl~i;lurl~ku;nimarl~a;rl~api	r l
r5~	1	R N	U+0072 U+0035 U+007E	gur5~u	r ɲ
rn~	28	R N	U+0072 U+006E U+007E	opurn~a*;ozu opurn~a*;opirn~a*;opurn~a*;opurn~a*	r n
rp~	1	R P	U+0072 U+0070 U+007E	rp~eL	r p
rd~	6	R T	U+0072 U+0064 U+007E	mard~a;bard~a;yagurd~u;rd~wo;rd~wo	r d
rt~	7	R T	U+0072 U+0074 U+007E	Tirt~u;nung~kurt~;murt~ara;kart~iri;murt~i	r t
Sf~	2	S B	U+0053 U+0066 U+007E	Sf~uga;kuSf~u	ʃ f
Sv~	1	S B	U+0053 U+0076 U+007E	Sv~u	ʃ v
Zv~	1	S B	U+005A U+0076 U+007E	Zv~u	ʒ v
sf~	2	S B	U+0073 U+0066 U+007E	3sf~ok;sf~o	s f
sv~	4	S B	U+0073 U+0076 U+007E	sv~3;musv~;sv~ika;mosv~la	s v
sc~	1	S C	U+0073 U+0063 U+007E	namisc~iniki	s ts
S8~	1	S D	U+0053 U+0038 U+007E	S8~e8	ʃ θ
Sk~	1	S K	U+0053 U+006B U+007E	daraSk~	ʃ k
sl~	3	S L	U+0073 U+006C U+007E	sl~uhwa;sl~3m3N;sl~i7iN	s l
zl~	1	S L	U+007A U+006C U+007E	gurmezl~	z l
sn~	1	S N	U+0073 U+006E U+007E	sn~i	s n
zn~	2	S N	U+007A U+006E U+007E	zn~agoti;azn~u	z n
Sb~	1	S P	U+0053 U+0062 U+007E	buSb~i	ʃ b
Sr~	1	S R	U+0053 U+0072 U+007E	Sr~iNg3m	ʃ r
sr~	19	S R	U+0073 U+0072 U+007E	sr~3k;sr~a;3sr~ik;sr~E;sr~i	s r
zr~	2	S R	U+007A U+0072 U+007E	zr~u;zr~7uN	z r
SZ~	11	S S	U+0053 U+005A U+007E	SZ~;SZ~a7;SZ~cuN;SZ~;SZ~	ʃ ʒ
sZ~	4	S S	U+0073 U+005A U+007E	nesZ~;geninsZ~;mabesZ~an;esZ~enekasowin	s ʒ
sz~	23	S S	U+0073 U+007A U+007E	sz~coco;sz~;sz~bo;sz~;sz~Ch~aCh~a	s z
St~	1	S T	U+0053 U+0074 U+007E	iSt~	ʃ t
sC~	1	S T	U+0073 U+0043 U+007E	wisC~ti	s tʃ
st~	2	S T	U+0073 U+0074 U+007E	post~;dast~	s t
Cf~	1	T B	U+0043 U+0066 U+007E	Cf~uCCf~o	tʃ f
Cv~	4	T B	U+0043 U+0076 U+007E	aCv~;Cv~;kv~Cv~;kv~Cv~	tʃ v
dv~	3	T B	U+0064 U+0076 U+007E	dv~olo;xEdv~a;dv~	d v
tf~	4	T B	U+0074 U+0066 U+007E	tf~u;tf~u;tf~u;tf~u7	t f
tv~	5	T B	U+0074 U+0076 U+007E	tv~o;bEkv~tv~lv~;tv~;tv~;mtv~	t v
CCf~	1	T B	U+0043 U+0043 U+0066 U+007E	Cf~uCCf~o	tʃ f
jjv~	1	T B	U+006A U+006A U+0076 U+007E	jjv~ay	dʒ v
